ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	901	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
2	17200	1	2	1.004128	0.000000	0.000000	0.000000	0.000000	2	0	0
3	11375	1	2	1.000088	0.000000	0.000000	0.000000	0.000000	2	0	0
4	2	1	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
5	1	2	2	3.000000	0.000000	0.000000	0.000000	0.000000	3	0	0
6	75683	1	1	1.001876	0.000000	0.000000	0.000000	0.000000	3	0	0
7	39677	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
8	1	1	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
9	9077	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
10	13	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
11	27	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
12	11812	1	1	1.006011	0.000000	0.000000	0.000000	0.000000	2	0	0
13	9505	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
14	1	2	2	3.000000	0.000000	0.000000	0.000000	0.000000	3	0	0
15	15	2	1	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
16	14	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
17	12	1	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
18	14	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
19	5	2	2	3.000000	0.000000	0.000000	0.000000	0.000000	3	0	0
20	34	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
21	3	1	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
22	13	1	1	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
23	10	2	2	3.000000	0.000000	0.000000	0.000000	0.000000	3	0	0
24	3	2	1	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
25	29	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
26	11	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
27	11	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
28	28322	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
29	19	1	2	2.473684	0.000000	0.000000	0.000000	0.000000	3	0	0
30	3	2	1	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
31	65	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
32	40	2	2	3.000000	0.000000	0.000000	0.000000	0.000000	3	0	0
33	48	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
34	1	1	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
35	45	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
36	24796	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
37	4	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
38	7	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
39	2	2	2	3.000000	0.000000	0.000000	0.000000	0.000000	3	0	0
40	23769	1	1	1.002987	0.000000	0.000000	0.000000	0.000000	2	0	0
41	39406	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
42	8644	1	1	1.008214	0.000000	0.000000	0.000000	0.000000	2	0	0
43	71	2	0	1.985915	0.000000	0.000000	0.000000	0.000000	2	0	0
44	35216	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
45	30	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
46	498	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
47	4720	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
48	23	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
49	13575	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
50	13	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
51	1	2	2	15.000000	0.000000	0.000000	0.000000	0.000000	15	0	0
52	2	2	1	15.000000	0.000000	0.000000	0.000000	0.000000	15	0	0
53	8	1	1	13.000000	0.000000	0.000000	0.000000	0.000000	13	0	0
54	6	2	1	3.000000	0.000000	0.000000	0.000000	0.000000	3	0	0
55	3	1	1	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
56	35	1	1	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
57	6930	2	1	1.010390	0.000000	0.000000	0.000000	0.000000	2	0	0
58	3335	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
59	11	1	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
60	52	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
61	11	2	2	3.181818	0.000000	0.000000	0.000000	0.000000	4	0	0
62	9	1	1	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
63	77	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
64	125	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
65	65	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
66	510	1	2	1.256863	0.000000	0.000000	0.000000	0.000000	2	0	0
67	15	2	1	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
68	12	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
69	3653	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
70	2	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
71	10	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
72	1770	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
73	14	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
74	8	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
75	110	2	1	1.154545	0.000000	0.000000	0.000000	0.000000	3	0	0
76	46945	1	1	1.003025	0.000000	0.000000	0.000000	0.000000	3	0	0
77	6146	2	0	1.000325	0.000000	0.000000	0.000000	0.000000	2	0	0
78	16700	0	1	1.004251	0.000000	0.000000	0.000000	0.000000	2	0	0
79	29977	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
80	2	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
81	111	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
82	23	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
83	505	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
84	392	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
85	1637	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
86	611	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
87	2420	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
88	98	1	2	1.540816	0.000000	0.000000	0.000000	0.000000	2	0	0
89	19955	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
90	1	2	2	16.000000	0.000000	0.000000	0.000000	0.000000	16	0	0
91	1	1	1	14.000000	0.000000	0.000000	0.000000	0.000000	14	0	0
92	3260	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
93	17307	1	1	1.004102	0.000000	0.000000	0.000000	0.000000	2	0	0
94	18988	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
95	5055	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
96	37349	1	0	1.007604	0.000000	0.000000	0.000000	0.000000	5	0	0
97	22962	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
98	74	1	2	1.189189	0.000000	0.000000	0.000000	0.000000	2	0	0
99	44024	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
100	83	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
101	77	2	0	1.662338	0.000000	0.000000	0.000000	0.000000	2	0	0
102	83	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
103	29	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
104	387	2	1	1.131783	0.000000	0.000000	0.000000	0.000000	2	0	0
105	74	0	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
106	412	1	0	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
107	22	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
108	2	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
109	12557	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
110	1	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
111	715	2	1	1.006993	0.000000	0.000000	0.000000	0.000000	2	0	0
112	6796	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
113	22	2	2	2.000000	0.000000	0.000000	0.000000	0.000000	2	0	0
114	623	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	1	0	0
